"id","PatentClaim","patent_id","text","claim","dependency","sequence","level","gold","expected_claimType"
"190","3957094-0001","3957094","1. in a material-removing tool, particularly in a tool for removing shavings and chips from wood, a combination comprising a main body portion rotatable about a predetermined axis and having a peripheral surface with at least one recess therein, said body portion having an engagement surface partly flanking said recess, and a groove which extends in parallelism with said axis; a holder having a contact surface adjacent to but spaced from said engagement surface, said holder being movable toward and away from as well as in parallelism with said engagement surface; a flat blade disposed between said engagement and contact surfaces; means for normally biasing said holder toward said engagement surface so that said blade abuts against said engagement and contact surfaces; first locating means for holding said blade against movement in parallelism with said contact surface while said blade abuts against said engagement and contact surfaces, said blade being separable from said first locating means by moving substantially at right angles to said contact surface; and second locating means for normally blocking the movement of said holder toward and away from said peripheral surface, at least while said blade abuts against said engagement and contact surfaces, said second locating means including a guide member received in said groove of said body portion, and means for separably securing said guide member to said holder.","1","0","1","1","2",2
"205","3959521-0002","3959521","2. thereafter applying to the thus-formed undercoat layer a resinous coating composition (b) comprising an unsaturated resin containing as many ethylenically unsaturated groups as calculated from the formula ##equ32## to form a topcoat layer on the undercoat layer, and","2","0","4","1","2",2
"506","4004635-0009","4004635","9. apparatus for connecting a relatively inflexible outflow pipe to a submerged well head casing comprising; means for guiding and receiving a pipe connector fixed to the end of said outflow pipe; means for locking said means for guiding and receiving onto the well head casing; said guide and receiving means including a portion serving as a stop for limiting passage therethrough of an end of said pipe connector, a conical guide portion and a cylindrical portion, said cylindrical portion including means for locking said pipe connector relative thereto; and means for determining the orientation of said guiding and receiving means with respect to the well head casing.","9","0","9","1","2",2
"873","4045890-0001","4045890","1. a removable ski-boot cleat comprising:","1","0","1","1","2",2
"874","4045890-0001","4045890","a cleat body member with fulcrum means formed thereon;","1","1","2","2","2",2
"875","4045890-0001","4045890","a stretchable strap removably secured to said cleat-body member;","1","1","3","2","2",2
"876","4045890-0001","4045890","a pair of longitudinally disposed channels formed in said cleat-body member, wherein each channel includes corresponding slots through which said strap is passed to be held in said channels;","1","1","4","2","2",2
"877","4045890-0001","4045890","mounting means for stretching said strap to attach said cleat to said boot; and","1","1","5","2","2",2
"878","4045890-0001","4045890","restraining means to removably attach the ski to said boot.","1","1","6","2","2",2
"945","4055843-0001","4055843","1. an annunciator system comprising:","1","0","1","1","2",2
"946","4055843-0001","4055843","a source of data signals, a subset of said data signals at any particular instant being in a high state, the remaining subset of said data signals being in a low state;","1","1","2","2","2",2
"947","4055843-0001","4055843","initiator means adapted for delivering an initiation signal when an announcement is to be made;","1","1","3","2","2",2
"948","4055843-0001","4055843","a time slot generator for generating a sequence of time slots and adapted for receiving said initiation signal and in response thereto adapted for generating a sequence of sets of time slot signals, each of said sets identifying a respective time slot in said sequence of time slots;","1","1","4","2","2",2
"949","4055843-0001","4055843","an audio frequency signal generator means adapted for generating a low frequency signal and for generating a high frequency signal;","1","1","5","2","2",2
"950","4055843-0001","4055843","audio output means adapted for receiving an input signal and adapted for delivering in response thereto an audio tone of like frequency; and","1","1","6","2","2",2
